200 9950
89 66 98
111 169 59
82 137 29
132 7 30
121 38 94
189 66 56
186 112 89
100 90 98
74 111 28
122 55 64
89 99 10
167 70 94
41 102 55
59 51 24
96 86 2
65 169 12
70 16 58
107 195 43
77 28 19
122 195 66
188 33 56
172 30 92
197 91 62
171 168 59
178 184 32
66 24 94
1 40 32
169 119 7
44 103 49
50 133 34
77 144 31
142 110 4
40 21 22
13 198 46
16 37 59
103 190 76
177 63 85
8 11 78
106 199 50
10 104 42
129 195 24
66 25 44
144 87 22
15 100 15
29 173 9
83 70 40
71 85 67
63 81 30
167 89 44
11 108 83
46 94 84
13 26 27
73 169 2
139 116 3
135 2 8
117 52 99
150 196 14
82 110 19
60 125 15
173 90 9
163 62 85
88 178 54
130 125 61
32 0 51
163 132 17
158 192 87
121 39 48
7 107 41
171 1 86
117 89 4
147 132 31
5 39 90
161 69 81
48 25 47
189 189 81
58 177 57
179 173 46
42 39 79
127 78 1
138 115 14
33 24 84
196 196 26
88 52 12
119 136 76
156 166 45
180 67 40
59 105 43
84 19 95
187 175 30
64 83 47
72 103 76
78 157 40
197 145 55
111 17 39
165 72 56
165 124 25
31 193 15
148 184 80
102 62 47
167 158 100
107 65 4
99 125 7
77 96 14
186 90 34
173 161 53
72 188 51
116 177 78
20 94 27
7 116 22
128 3 36
154 106 63
144 112 61
170 11 62
192 40 65
177 12 26
2 91 54
54 13 44
158 95 96
100 143 96
106 90 59
182 24 91
169 43 12
154 125 94
118 8 26
104 154 84
184 78 47
195 109 64
122 81 62
141 39 24
99 167 54
51 84 44
124 173 73
115 179 50
83 94 36
119 66 56
136 63 17
152 17 93
66 52 27
58 195 22
86 140 47
111 47 82
21 18 51
66 179 14
192 188 75
145 96 10
131 107 64
39 73 56
67 16 34
189 105 21
51 136 33
59 63 62
138 160 83
182 76 27
195 25 18
11 32 75
171 3 22
148 170 40
137 10 88
186 153 24
38 109 48
8 178 9
131 161 80
61 20 16
103 12 71
172 118 17
16 151 53
91 100 31
85 146 57
119 125 61
108 194 22
29 163 99
113 188 76
177 24 49
110 53 34
139 24 86
148 196 66
182 65 5
115 186 61
13 70 30
68 134 34
59 40 71
193 148 11
27 52 46
146 185 47
59 5 89
170 76 75
38 185 42
45 73 68
20 40 45
86 77 42
27 131 65
99 0 16
175 199 10
26 141 94
182 32 32
8 78 42
148 65 3
52 129 62
152 64 43
109 139 19
153 100 61
154 134 4
99 146 50
112 198 20
83 138 42
169 166 88
46 59 78
192 141 17
125 176 24
95 143 97
166 66 12
54 49 94
90 163 60
47 98 87
79 176 60
60 171 61
72 12 37
140 122 14
117 160 42
99 139 69
160 74 62
44 166 48
181 94 96
68 114 68
119 81 52
23 164 1
11 162 74
166 116 22
137 176 56
0 104 13
59 1 11
112 106 35
91 81 34
124 115 66
182 186 34
3 181 55
166 147 76
46 168 50
16 135 58
143 123 33
39 110 48
113 51 83
17 120 39
193 6 68
27 56 95
91 193 19
50 49 76
65 191 31
181 66 9
38 37 87
159 35 42
26 49 50
29 81 30
134 97 50
190 10 87
77 54 63
46 141 59
172 192 28
163 184 7
151 28 67
33 199 63
140 72 73
90 169 74
21 20 78
73 164 15
160 20 1
149 41 25
191 192 76
149 125 80
6 53 41
66 183 11
45 47 98
157 12 81
1 62 6
31 66 99
107 78 65
154 85 89
79 20 19
124 39 20
180 189 70
188 164 48
80 21 72
135 188 44
181 143 82
72 14 78
156 55 27
87 177 49
28 121 66
87 80 43
55 18 20
164 134 24
130 158 45
149 183 24
51 54 89
61 188 3
6 70 89
67 31 91
87 32 86
33 8 44
69 146 16
190 36 52
73 36 45
196 105 8
66 103 46
188 151 74
191 173 55
165 188 95
86 75 80
22 36 38
146 141 76
4 159 4
28 26 47
6 192 46
140 7 95
114 26 87
133 69 87
102 187 88
144 18 23
9 163 17
72 97 14
115 174 57
107 68 52
57 192 5
137 171 69
26 83 12
194 17 98
39 118 73
179 16 21
144 46 25
47 174 82
50 67 8
166 97 36
121 31 51
193 175 44
196 94 85
193 172 85
60 190 33
2 6 21
52 91 85
152 67 3
47 24 92
111 45 4
181 142 25
163 189 60
196 75 27
195 28 56
96 199 57
41 100 36
33 14 71
16 47 43
74 103 3
57 30 43
14 5 68
118 134 23
163 106 48
181 148 45
84 107 28
30 183 53
96 152 81
28 87 44
180 190 28
80 145 87
134 30 51
38 199 59
142 119 33
178 99 28
196 27 87
168 40 67
40 5 78
16 142 35
180 59 44
180 102 81
92 133 9
37 195 32
70 68 10
96 2 32
195 48 89
108 85 27
163 142 19
55 148 12
73 49 58
40 54 27
184 53 69
143 75 98
109 143 15
92 47 76
60 193 35
133 76 14
91 49 47
153 17 30
173 134 66
123 82 46
90 108 14
72 82 88
39 43 71
101 40 29
16 101 90
143 37 59
184 143 11
57 149 72
130 197 81
129 23 42
68 141 57
56 104 77
141 30 99
60 109 79
74 153 30
96 184 94
170 58 40
30 128 24
29 7 90
5 168 1
141 109 42
23 93 56
193 33 4
89 127 67
10 84 41
149 73 14
94 193 97
57 86 83
35 33 34
64 197 93
34 194 17
127 187 91
163 69 44
122 22 45
193 112 94
17 137 60
88 136 36
119 15 27
113 76 1
132 113 76
75 20 87
94 94 18
165 191 48
134 41 5
39 48 45
1 97 6
195 128 19
15 15 91
44 74 87
161 156 67
145 23 3
152 141 84
79 94 12
138 39 69
168 106 4
52 41 41
19 24 19
192 21 71
74 184 19
146 172 2
3 183 64
195 137 67
45 106 68
120 118 84
86 158 13
149 122 45
147 139 74
198 108 68
42 110 83
146 10 78
64 22 29
108 7 18
63 94 28
184 30 79
143 149 75
186 45 81
191 85 79
28 29 85
85 37 82
153 123 71
40 158 14
0 84 32
29 137 53
138 110 15
38 132 79
91 63 38
164 96 51
85 189 54
96 67 98
130 106 63
125 126 84
189 50 34
22 153 51
155 129 91
85 117 39
0 122 28
93 93 55
193 196 92
0 156 8
51 31 78
197 190 41
6 184 44
164 146 98
52 43 49
56 12 85
102 31 59
154 117 72
19 10 8
181 160 62
97 167 51
113 124 15
67 197 82
158 8 41
185 199 57
127 111 27
17 69 33
91 183 25
155 120 3
91 141 13
179 80 34
13 68 7
16 79 71
92 173 65
160 137 29
25 115 40
91 109 38
46 147 41
44 163 22
184 60 27
194 57 47
110 131 13
197 28 53
141 84 82
32 164 16
93 189 82
106 27 11
186 42 92
91 162 86
40 126 97
127 185 61
17 144 38
101 157 55
181 22 100
122 121 43
86 73 21
68 139 4
46 98 9
10 91 59
95 4 38
168 162 61
148 188 22
93 73 45
46 198 29
19 56 76
136 167 16
77 141 75
56 130 60
196 41 20
75 165 27
26 1 10
176 161 43
102 152 55
92 23 30
128 94 62
47 86 80
176 191 75
46 192 29
4 20 19
51 28 52
127 168 66
72 42 92
83 150 90
92 58 12
72 191 64
28 5 82
133 108 40
139 111 78
145 77 38
150 165 67
55 101 70
38 39 35
51 115 49
31 195 24
64 174 76
24 61 32
130 184 98
107 123 92
28 83 80
172 98 54
186 120 87
96 85 14
58 102 14
35 184 64
93 160 73
127 31 66
122 56 69
79 195 53
131 92 88
35 186 19
101 192 30
182 176 8
61 155 68
121 188 85
116 51 53
118 29 44
53 152 51
55 2 23
101 25 80
56 111 34
153 193 33
138 101 39
112 35 79
132 194 21
89 25 91
154 52 12
82 54 88
104 160 40
189 11 82
73 181 51
47 182 66
0 86 69
20 13 1
133 19 92
58 75 6
5 77 89
116 196 59
68 159 69
29 67 88
58 132 23
164 155 6
113 39 77
12 149 47
152 139 19
87 86 49
15 196 82
75 29 6
130 143 73
25 181 100
191 197 82
139 94 56
161 28 50
102 0 21
58 197 91
178 177 67
43 189 77
84 156 76
169 123 51
156 123 20
94 0 73
145 9 48
66 170 96
17 160 69
64 96 59
162 152 21
136 186 97
7 95 68
185 37 72
25 56 65
38 98 60
175 140 91
121 64 75
7 27 18
133 100 50
52 81 60
10 98 66
127 80 42
189 82 34
168 163 18
42 77 54
105 154 69
143 136 69
40 145 24
158 178 50
175 6 29
131 14 64
122 93 67
84 123 26
19 77 23
196 130 70
74 177 14
52 194 23
195 156 46
65 125 85
9 187 96
106 2 63
54 108 14
23 96 31
135 185 32
25 38 14
35 154 79
70 127 10
172 137 17
162 138 36
129 160 7
81 146 88
144 69 78
156 191 4
194 117 30
56 199 73
171 158 94
71 184 71
25 72 69
189 22 17
86 85 74
184 70 89
83 111 99
169 94 33
103 158 95
62 136 46
160 147 18
90 150 84
135 88 3
41 187 96
119 102 51
101 27 78
37 48 93
177 127 50
54 87 53
11 190 28
169 4 69
36 3 23
134 23 25
134 100 21
11 16 42
173 19 51
150 45 4
59 154 55
52 152 99
75 43 29
0 193 88
190 158 9
177 156 6
192 128 94
38 17 82
87 61 94
91 45 78
158 169 47
45 101 78
68 32 54
196 98 18
58 45 96
132 10 71
155 31 43
68 110 94
24 88 62
164 89 3
7 183 96
72 51 85
80 149 83
187 128 26
188 25 40
21 151 65
46 86 42
151 105 53
100 8 45
89 160 69
5 49 5
177 13 52
177 23 29
46 184 85
177 48 10
147 8 67
80 86 96
124 199 9
167 147 63
121 13 99
109 108 89
180 38 23
3 116 90
98 155 23
49 86 91
134 40 24
127 58 77
178 110 15
9 190 100
149 112 76
39 88 26
23 176 60
17 35 3
139 150 71
104 13 48
15 125 52
132 186 93
22 99 93
81 125 32
106 54 15
137 103 20
48 169 74
121 198 16
79 78 64
92 2 36
171 145 3
115 151 22
72 136 32
67 173 62
77 77 83
162 72 79
128 29 65
63 80 55
7 51 42
149 1 8
65 161 24
167 94 21
13 168 2
44 176 94
60 195 74
82 177 34
40 107 85
158 155 72
21 113 15
142 139 74
143 102 29
190 64 42
190 160 13
178 4 2
180 70 34
174 74 33
22 146 49
97 58 51
45 180 86
74 16 9
26 134 19
87 137 8
31 15 68
146 132 4
159 53 5
199 192 4
185 137 92
114 58 87
26 47 29
51 143 46
198 154 87
45 62 99
186 143 20
68 8 82
150 125 16
28 8 89
46 46 81
198 75 51
67 114 83
140 29 26
92 62 38
129 182 96
51 147 79
162 34 32
98 153 45
143 11 37
169 174 97
193 97 68
194 89 22
73 33 45
173 139 79
45 87 71
61 9 28
12 154 18
1 86 18
162 13 15
132 112 45
155 80 53
